feat,lrp
TFs_and_others_ZNF687,-0.0001121941441559545
TFs_and_others_XRCC3,-9.29960684720149e-05
TFs_and_others_ASCL1,-0.00016526912586414715
TFs_and_others_ZNF23,-9.014741663062705e-05
TFs_and_others_BRWD1,-0.00013722706495964982
TFs_and_others_WAS,-9.609048494599044e-05
Histone_H3K9ac,-0.0002631747952722352
TFs_and_others_ZFP62,-0.00012352759902132282
TFs_and_others_ZNF543,-0.00010882175113144623
TFs_and_others_ZNF513,-7.104814269961513e-05
RNA_polymerase_POLR2A,-8.450046339153736e-05
TFs_and_others_ULK3,-8.002867534442313e-05
TFs_and_others_HOXC8,-6.147223225217424e-05
TFs_and_others_GZF1,-7.068270523826262e-05
TFs_and_others_POU2F2,-7.994001711311985e-05
TFs_and_others_ZNF785,-7.82635985857622e-05
TFs_and_others_PROSER1,-8.048540011960242e-05
TFs_and_others_ZBTB43,-7.234667660945881e-05
TFs_and_others_BCOR,-0.00010850850524121352
TFs_and_others_ZBTB42,-7.885180437837919e-05
TFs_and_others_MYRF,-6.211279124186064e-05
TFs_and_others_PIAS1,-6.082241611021549e-05
Histone_H2BK120ac,-6.023073247737398e-05
TFs_and_others_TCF7L1,-6.185020249612729e-05
TFs_and_others_THAP9,-6.328768215631004e-05
TFs_and_others_CLOCK,-6.881228847290478e-05
RNA_polymerase_POLR2M,-6.534902603652519e-05
TFs_and_others_ARNTL2,-5.9864139560193664e-05
TFs_and_others_IKZF3,-7.192531956161758e-05
TFs_and_others_STAT6,-7.02235813886237e-05
TFs_and_others_HLF,-8.806666954672104e-05
TFs_and_others_MED7,-6.428611536799679e-05
TFs_and_others_PRMT5,-6.377435399955889e-05
TFs_and_others_ZNF354C,-6.211313953488024e-05
TFs_and_others_JADE3,-7.05855842592926e-05
TFs_and_others_WAPL,-8.027919803719855e-05
TFs_and_others_VSX2,-6.517476781242887e-05
TFs_and_others_CBFA2T3,-8.753841517139351e-05
TFs_and_others_ZNF710,-6.660498009339432e-05
TFs_and_others_ZFP2,-8.385560115348017e-05
TFs_and_others_BRD9,-6.932953177284726e-05
TFs_and_others_ZNF92,-7.515169104073195e-05
TFs_and_others_GATA4,-7.129252813647696e-05
TFs_and_others_EGFR,-6.643709590688046e-05
TFs_and_others_ATOH8,-7.626010699582076e-05
TFs_and_others_DR1,-6.180287346465861e-05
TFs_and_others_FOXP1,-9.965360708423996e-05
TFs_and_others_ZNF530,-6.869464988647043e-05
Histone_H4K5cr,-8.09450515287482e-05
TFs_and_others_ZNF280A,-6.207727576989068e-05
TFs_and_others_SLFN5,-7.64676627485251e-05
TFs_and_others_CDX1,-6.825754386286305e-05
TFs_and_others_MYF6,-6.892638152081816e-05
TFs_and_others_ZNF317,-6.0378653435933736e-05
TFs_and_others_ESRRB,-7.033515335482153e-05
TFs_and_others_XPO1,-7.580600988298774e-05
TFs_and_others_HECTD1,-7.291946134292239e-05
TFs_and_others_G-quadruplexes,-6.842763191510325e-05
TFs_and_others_HES7,-7.528037853759877e-05
TFs_and_others_TFAP4,-8.32549214079717e-05
Histone_H3.7,-7.688267334267329e-05
TFs_and_others_ALYREF,-6.843533576646646e-05
TFs_and_others_HIVEP3,-7.843355404913441e-05
Histone_H3T6ph,-5.894577470267735e-05
TFs_and_others_ESRRA,-7.069610117471412e-05
TFs_and_others_ZNF704,-6.156651048794047e-05
TFs_and_others_ZNF778,-0.00010426808560789733
TFs_and_others_ZIC5,-7.717020650852895e-05
TFs_and_others_GFP,-0.00019430668815644363
TFs_and_others_PCGF5,-9.737027984762359e-05
TFs_and_others_PRAME,-7.688283710010858e-05
TFs_and_others_SP140L,-5.63956339455792e-05
TFs_and_others_AEBP2,-4.763278611039089e-05
TFs_and_others_ZBTB4,-6.0405013362242745e-05
TFs_and_others_GATAD2A,-5.782822272278308e-05
TFs_and_others_ZNF556,-6.689272685678006e-05
TFs_and_others_ZNF615,-4.323504735203986e-05
TFs_and_others_CARM1,-6.787981923967899e-05
TFs_and_others_GTF2I,-5.569462770642548e-05
TFs_and_others_SOX5,-6.742446844269377e-05
TFs_and_others_ZBTB14,-5.440743971897154e-05
TFs_and_others_ZNF571,-6.404004217445424e-05
TFs_and_others_CREB1,-9.64463328896778e-05
TFs_and_others_NUP98,-7.356062969035617e-05
TFs_and_others_QRICH1,-5.613708911483244e-05
TFs_and_others_TRRAP,-6.509359088502576e-05
TFs_and_others_PHB,-6.114127613071725e-05
TFs_and_others_NHLH1,-6.823032410178523e-05
TFs_and_others_PARK7,-6.90884342651029e-05
TFs_and_others_BRCA2,-9.023317524313301e-05
TFs_and_others_BRPF1,-6.510184592206003e-05
TFs_and_others_TDRD3,-8.002417369575852e-05
Histone_H1B,-7.038785455216302e-05
TFs_and_others_HNF1B,-9.589692774503897e-05
TFs_and_others_ZFP91,-8.026085201308054e-05
TFs_and_others_JARID2,-7.544492339010909e-05
TFs_and_others_TBP,-7.13896047955876e-05
TFs_and_others_THAP1,-7.967118404862878e-05
TFs_and_others_SRSF1,-6.264891532962599e-05
TFs_and_others_HOXB7,-5.577739999370519e-05
Histone_H3S28ph,-6.794088150491404e-05
TFs_and_others_ZNF155,-7.153662868302717e-05
TFs_and_others_RB1,-7.129014688831068e-05
TFs_and_others_KDM1A,-0.00011812385549870072
TFs_and_others_LMO2,-8.932567528533964e-05
TFs_and_others_TERF1,-8.210174345892927e-05
TFs_and_others_ATM,-6.190801664832049e-05
TFs_and_others_ZNF16,-8.037847625453976e-05
TFs_and_others_CDK6,-5.74599034911373e-05
TFs_and_others_DLX4,-0.0001004424368538388
TFs_and_others_ZNF8,-6.838804126982143e-05
TFs_and_others_NRL,-0.00010284088619198463
TFs_and_others_IFI16,-7.197281308048367e-05
TFs_and_others_EOMES,-0.00011546716806682649
TFs_and_others_TRP47,-8.417971419927919e-05
TFs_and_others_IRF3,-0.00011433920695950627
TFs_and_others_ZBTB12,-8.072183426101055e-05
TFs_and_others_CBFA2T2,-9.483477215443002e-05
TFs_and_others_KDM4B,-7.338801161141225e-05
Histone_H3K4ox,-7.291882474798134e-05
TFs_and_others_TBPL1,-7.856750284327149e-05
TFs_and_others_ZNF257,-7.003643434937867e-05
